module name,licenses,repository,licenseUrl,parents
JSONStream@1.3.1,(MIT OR Apache-2.0),https://github.com/dominictarr/JSONStream,https://github.com/dominictarr/JSONStream/raw/master/LICENSE.APACHE2,npm:rails-webpacker
abbrev@1.0.9,ISC,http://github.com/isaacs/abbrev-js,http://github.com/isaacs/abbrev-js/raw/master/LICENSE,istanbul:rails-webpacker
abbrev@1.1.0,ISC,http://github.com/isaacs/abbrev-js,http://github.com/isaacs/abbrev-js/raw/master/LICENSE,rails-webpacker
accepts@1.3.3,MIT,https://github.com/jshttp/accepts,https://github.com/jshttp/accepts/raw/master/LICENSE,rails-webpacker
acorn-dynamic-import@2.0.2,MIT,https://github.com/kesne/acorn-dynamic-import,https://github.com/kesne/acorn-dynamic-import/raw/master/LICENSE,rails-webpacker
acorn-jsx@3.0.1,MIT,https://github.com/RReverser/acorn-jsx,https://github.com/RReverser/acorn-jsx/raw/master/LICENSE,rails-webpacker
acorn@3.3.0,MIT,https://github.com/ternjs/acorn,https://github.com/ternjs/acorn/raw/master/LICENSE,acorn-jsx:rails-webpacker
acorn@4.0.13,MIT,https://github.com/ternjs/acorn,https://github.com/ternjs/acorn/raw/master/LICENSE,acorn-dynamic-import:rails-webpacker
acorn@5.0.3,MIT,https://github.com/ternjs/acorn,https://github.com/ternjs/acorn/raw/master/LICENSE,rails-webpacker
adjust-sourcemap-loader@1.1.0,MIT,https://github.com/bholloway/adjust-sourcemap-loader,https://github.com/bholloway/adjust-sourcemap-loader,rails-webpacker
after@0.8.2,MIT,https://github.com/Raynos/after,https://github.com/Raynos/after/raw/master/LICENCE,rails-webpacker
ajv-keywords@1.5.1,MIT,https://github.com/epoberezkin/ajv-keywords,https://github.com/epoberezkin/ajv-keywords/raw/master/LICENSE,rails-webpacker
ajv@4.11.4,MIT,https://github.com/epoberezkin/ajv,https://github.com/epoberezkin/ajv/raw/master/LICENSE,har-validator:request:npm:rails-webpacker
ajv@4.11.8,MIT,https://github.com/epoberezkin/ajv,https://github.com/epoberezkin/ajv/raw/master/LICENSE,rails-webpacker
ajv@5.2.0,MIT,https://github.com/epoberezkin/ajv,https://github.com/epoberezkin/ajv/raw/master/LICENSE,schema-utils:rails-webpacker
align-text@0.1.4,MIT,https://github.com/jonschlinkert/align-text,https://github.com/jonschlinkert/align-text/raw/master/LICENSE,rails-webpacker
alphanum-sort@1.0.2,MIT,https://github.com/TrySound/alphanum-sort,https://github.com/TrySound/alphanum-sort/raw/master/LICENSE,rails-webpacker
amdefine@1.0.1,BSD-3-Clause OR MIT,https://github.com/jrburke/amdefine,https://github.com/jrburke/amdefine/raw/master/LICENSE,rails-webpacker
anchorate@1.1.0,ISC,https://github.com/adjohnson916/anchorate,https://github.com/adjohnson916/anchorate,rails-webpacker
ansi-align@1.1.0,ISC,https://github.com/nexdrew/ansi-align,https://github.com/nexdrew/ansi-align/raw/master/LICENSE,boxen:update-notifier:npm:rails-webpacker
